review_id,review_text,date
1,"I absolutely love this product! It works perfectly.",2023-01-01
2,"Worst experience ever. Totally disappointed.",2023-01-05
3,"The product is okay, nothing special.",2023-01-10
4,"This phone has a great camera but poor battery life.",2023-01-15
5,"I am scared about the future of this company.",2023-01-20
6,"The new update is amazing and very helpful.",2023-01-25
7,"Customer service was terrible and rude.",2023-02-01
8,"Fast delivery and great packaging!",2023-02-05
9,"The app keeps crashing again and again.",2023-02-10
10,"Good value for money. I'm happy with the purchase.",2023-02-15
 
